ConditionID,InspectionID,Distance,Counter,PACP_Code,Continuous,Value_1st_Dimension,Value_2nd_Dimension,Value_Percent,Joint,Clock_At_From,Clock_To,Remarks,VCR_Time
726,72,94,766,DAGS,S02,,,5,FALSE,6,5,wanders,
727,72,124.9000015,932,DAGS,F02,,,5,FALSE,6,5,wanders,
728,72,128.3999939,956,MGO,,,,0,FALSE,,,connection in manhole,
729,72,128.3999939,979,AMH,,,,0,FALSE,,,SANMH500263,
730,73,108.8000031,637,DAE,,,,5,TRUE,7,5,,
731,73,108.8000031,645,IW,,,,0,TRUE,1,,,
732,73,139.8000031,802,TF,,6,,0,FALSE,3,,,
733,73,207.6999969,1175,TF,,6,,0,FALSE,9,,,
734,73,218.1000061,1286,DAE,,,,5,TRUE,10,3,,
735,73,218.1000061,1294,ID,,,,0,TRUE,12,,,
736,73,220.8999939,1344,MGO,,,,0,FALSE,,,connection in manhole,
737,73,220.8999939,1353,AMH,,,,0,FALSE,,,SANMH500260,
738,73,0,2,AMH,,,,0,FALSE,,,SANMH500262,
739,73,0,26,MWL,,,,5,FALSE,,,,
740,73,39,206,TF,,6,,0,FALSE,3,,,
741,73,81.90000153,454,TF,,6,,0,FALSE,9,,,
742,74,0,6,AMH,,,,0,FALSE,,,SANMH500260,
743,74,0,29,MWL,,,,5,FALSE,,,,
744,74,0,41,MGO,,,,0,FALSE,,,connection in manhole,
745,74,9.100000381,595,DSF,S01,,,5,FALSE,5,6,,
746,74,42.79999924,719,DSF,F01,,,5,FALSE,5,6,,
747,74,48.70000076,756,MGO,,,,0,FALSE,,,outside drop,
748,74,50.29999924,846,MGO,,,,0,FALSE,,,connections in manhole,
749,74,50.29999924,859,AMH,,,,0,FALSE,,,SANMH500261,
750,75,0,2,AMH,,,,0,FALSE,,,SANMH500251,
751,75,0,26,MWL,,,,5,FALSE,,,,
752,75,48.29999924,260,TF,,6,,0,FALSE,3,,,
753,75,117.5,610,DAE,,,,5,TRUE,8,5,,
754,75,120.0999985,650,MGO,,,,0,FALSE,,,debris in manhole,
755,75,120.6999969,682,AMH,,,,0,FALSE,,,SANMH500250,
756,76,0,5,AMH,,,,0,FALSE,,,SANMH500251,
757,76,0,22,MWL,,,,5,FALSE,,,,
758,76,46.20000076,272,DAGS,S01,,,5,FALSE,7,5,wanders,
759,76,51.79999924,307,DAGS,F01,,,5,FALSE,7,5,wanders,
760,76,98.80000305,593,TF,,6,,0,FALSE,3,,,
761,76,101.0999985,619,TF,,6,,0,FALSE,9,,,
762,76,168.3000031,890,TFD,,6,,0,FALSE,3,,infiltration in connection,
763,76,170.5,928,TF,,6,,0,FALSE,9,,,
764,76,216.3000031,1140,MGO,,,,0,FALSE,,,connection in manhole,
765,76,216.3000031,1162,MGO,,,,0,FALSE,,,connection in manhole,
766,76,216.3000031,1169,AMH,,,,0,FALSE,,,SANMH500252,
767,77,0,5,AMH,,,,0,FALSE,,,SANMH500254,
768,77,0,40,MWL,,,,5,FALSE,,,,
769,77,0,47,MGO,,,,0,FALSE,,,connection in manhole,
770,77,0,51,MWL,,,,5,FALSE,,,,
771,77,38.79999924,494,TFD,,6,,0,FALSE,3,,encrustation in connection,
772,77,96.59999847,842,TFD,,6,,0,FALSE,9,,encrustation in connection,
773,77,134,1020,TFD,,6,,0,FALSE,3,,encrustation in connection,
774,77,171.5,1336,DAGS,,,,5,TRUE,8,4,,
775,77,180.6000061,1403,FL,,,,0,TRUE,11,,,
776,77,180.6000061,1421,DAE,,,,5,TRUE,8,11,,
777,77,196.3999939,1533,TF,,6,,0,FALSE,9,,,
778,77,218.6999969,1675,TF,,6,,0,FALSE,3,,,
779,77,261,1901,TF,,6,,0,FALSE,9,,,
780,77,286.2000122,2024,DAGS,S01,,,5,FALSE,8,4,wanders,
781,77,307.8999939,2153,DAE,,,,5,TRUE,7,9,,
782,77,307.8999939,2160,DAGS,F01,,,5,FALSE,8,4,wanders,
783,77,319.2000122,2243,AMH,,,,0,FALSE,,,SANMH500253,
784,78,0,12,AMH,,,,0,FALSE,,,SANMH500254,
785,78,0,15,MWL,,,,5,FALSE,,,,
786,78,93.30000305,487,TFD,,6,,0,FALSE,9,,encrustation in connection,
787,78,181.6999969,1001,DAE,,,,5,TRUE,7,2,,
788,78,183.3000031,1018,TF,,6,,0,FALSE,9,,,
789,78,209,1169,DAE,,,,5,TRUE,4,8,,
790,78,214.3000031,1232,MGO,,,,0,FALSE,,,connection in manhole,
791,78,214.3000031,1261,MGO,,,,0,FALSE,,,connection in manhole,
792,78,214.3000031,1274,AMH,,,,0,FALSE,,,SANMH500255,
793,79,0,6,AMH,,,,0,FALSE,,,SANMH500266,
794,79,0,30,MWL,,,,5,FALSE,,,,
795,79,0,38,MGO,,,,0,FALSE,,,connection in manhole,
796,79,0,47,MGO,,,,0,FALSE,,,connection in manhole,
797,79,0,55,MGO,,,,0,FALSE,,,connection in manhole,
798,79,0,64,MWL,,,,5,FALSE,,,,
799,79,51.79999924,352,TF,,6,,0,FALSE,9,,,
800,79,64.09999847,442,TF,,6,,0,FALSE,3,,,
801,79,132.1999969,866,TF,,6,,0,FALSE,9,,,
802,79,149.3999939,982,TF,,6,,0,FALSE,3,,,
803,79,211.8999939,1322,TF,,6,,0,FALSE,9,,,
804,79,234.1999969,1481,TFA,,6,,0,FALSE,3,,,
805,79,255.8999939,1682,FM,,,,0,TRUE,9,4,,
806,79,255.8999939,1701,DAE,,,,5,TRUE,7,5,,
807,79,260.7999878,1744,FC,,,,0,TRUE,9,11,,
808,79,264.7999878,1787,MGO,,,,0,FALSE,,,encrustation in manhole,
809,79,264.7999878,1797,AMH,,,,0,FALSE,,,SANMH500265,
810,80,0,5,AMH,,,,0,FALSE,,,SANMH500265,
811,80,0,19,MWL,,,,5,FALSE,,,,
812,80,0,27,MGO,,,,0,FALSE,,,encrustation in manhole,
813,80,32.29999924,215,TF,,6,,0,FALSE,9,,,
814,80,44.5,298,TF,,6,,0,FALSE,3,,,
815,80,117.5,871,TF,,6,,0,FALSE,9,,,
816,80,124.5999985,959,TF,,6,,0,FALSE,3,,,
817,80,192.5,1493,DAGS,,,,5,TRUE,7,5,,
818,80,197.6999969,1545,DAGS,,,,5,TRUE,7,5,,
819,80,202.8000031,1605,DAGS,,,,5,TRUE,7,5,,
820,80,207.8999939,1654,DAGS,,,,5,TRUE,7,5,,
821,80,218.1999969,1734,TFA,,6,,0,FALSE,9,,,
822,80,218.1999969,1756,DAE,,,,5,TRUE,7,9,,
823,80,220.1999969,1789,TFA,,6,,0,FALSE,3,,,
824,80,226.5,1857,AMH,,,,0,FALSE,,,SANMH500264,
825,81,0,6,AMH,,,,0,FALSE,,,SANMH500269,
826,81,0,36,MWL,,,,5,FALSE,,,,
827,81,36.90000153,247,TF,,6,,0,FALSE,3,,,
828,81,39,286,TF,,6,,0,FALSE,9,,,
829,81,121.4000015,826,TF,,6,,0,FALSE,3,,,
